MatchID,Red1,Red2,Red3,Blue1,Blue2,Blue3,RedScore,BlueScore
Quals 1,9988,1763,5098,1775,2410,5013,29,33
Quals 2,1764,935,1710,1769,9410,5454,49,56
Quals 3,1982,6843,937,5801,3928,1785,17,66
Quals 4,2345,6424,2001,3284,5126,4455,22,107
Quals 5,5119,1997,1810,1802,9316,1825,31,77
Quals 6,1987,9551,5968,1730,1108,1847,44,49
Quals 7,8825,1939,2357,4959,1986,2718,42,46
Quals 8,1775,5098,1982,935,9410,2410,24,18
Quals 9,1764,5454,2345,2001,937,9988,45,16
Quals 10,5013,5801,1802,1785,1825,3284,45,48
Quals 11,5119,6843,5968,1987,1710,1769,28,50
Quals 12,3928,9551,1986,6424,1847,1997,68,45
Quals 13,8825,4455,4959,1939,9316,1763,27,37
Quals 14,1108,2357,2718,1730,5126,1810,52,76
Quals 15,1764,5801,1825,2345,935,5098,43,47
Quals 16,2410,1785,937,9410,1987,5119,22,56
Quals 17,1982,5013,6424,1710,2001,1847,64,21
Quals 18,1775,4455,6843,1997,9988,8825,43,54
Quals 19,5126,1802,1763,2718,1769,1730,30,54
Quals 20,5454,1986,1939,2357,1810,9551,49,62
Quals 21,1108,3284,4959,3928,9316,5968,69,38
Quals 22,1710,5119,1785,2410,1847,2345,42,41
Quals 23,1825,5098,937,6843,8825,6424,47,50
Quals 24,9410,1997,1764,5013,2718,5126,57,43
Quals 25,1730,9988,1987,5801,1810,1939,38,38
Quals 26,4455,5968,935,1802,2357,3928,50,74
Quals 27,2001,1775,1769,4959,9551,9316,38,20
Quals 28,1763,1108,1986,1982,3284,5454,56,84
Quals 29,5126,6424,5119,5098,1764,6843,55,25
Quals 30,1847,2718,9410,1810,2345,9988,51,45
Quals 31,1710,2410,1730,1825,4455,3928,26,48
Quals 32,935,5801,9551,5968,8825,2001,50,36
Quals 33,1986,1785,9316,937,1763,1775,36,39
Quals 34,4959,1939,1802,5454,1108,5013,31,79
Quals 35,1769,3284,2357,1987,1997,1982,102,63
Quals 36,6843,1825,1847,4455,1730,9410,39,20
Quals 37,3928,1810,1710,9551,5098,2001,52,31
Quals 38,6424,937,5801,2718,1763,5119,92,35
Quals 39,1785,1775,5454,1939,5968,1108,57,67
Quals 40,1997,2345,5126,935,4959,1987,81,68
Quals 41,9316,1769,8825,3284,9988,5013,58,66
Quals 42,2410,2357,1982,1986,1764,1802,43,60
Quals 43,1810,937,2718,9551,1710,4455,30,39
Quals 44,1939,2001,9410,5098,5119,1108,20,76
Quals 45,1997,1730,4959,1785,6424,935,36,54
Quals 46,1769,5013,3928,5801,2345,1775,67,59
Quals 47,3284,2410,9316,6843,5454,2357,62,51
Quals 48,5968,1986,9988,5126,1982,1825,32,78
Quals 49,1802,1847,1987,1763,8825,1764,82,42
Quals 50,2001,935,1997,937,1939,1710,43,43
Quals 51,1108,9410,1785,4455,1769,5801,55,60
Quals 52,9551,2718,3284,5098,4959,2410,67,32
Quals 53,9316,5119,2345,1986,1982,1730,35,85
Quals 54,1763,6843,1810,5968,5013,1764,23,34
Quals 55,9988,1802,1775,2357,1987,6424,35,95
Quals 56,1847,3928,5126,1825,5454,8825,96,48
